Genus,HS01_ave,HS03_ave,HS05_ave,HS09_ave,HS13_ave,HS15_ave,HS17_ave,HS19_ave,JW01,JW02,JW03,JW04,JW05,JW06,JW07,JW08,JW09,JW10,JW11,JW12,JW13,JW14,JW15,JW16,JW17,JW18,JW19,JW20,LZ01,LZ02_ave,LZ03,LZ04_ave,LZ05,LZ06_ave,LZ10,LZ11_ave,LZ13,LZ14_ave,LZ16,LZ17_ave,QZ01,QZ02,QZ03,QZ04,QZ05,QZ06,QZ07,QZ08,QZ09,YZ01,YZ02,YZ03,YZ04_ave,YZ05,YZ06_ave,YZ09,YZ10,YZ11,YZ12,YZ13,YZ14,YZ15,YZ16,YZ17,YZ18,YZ19,YZ20,YZ21,YZ22_ave,YZ24,YZ25,YZ26,YZ27,YZ28,YZ29_ave,YZ32_ave,YZ33_ave,MG01,MG02,MG03,MG04,MG05,MG06,MG07,MG08,MG09,MG10,MG11,MG12,MG13,MG14,MG15,AM01,AM02,AM03,AM04,AM05,AM06,AM07,AM08,AM09
Paludisphaera,0.005232972,0.020927945,0,0,0,0.029981636,0.03665092,0,0.005112926,0.002594056,0,0,0.001127516,0,0,0,0,0,0,0,0,0,0.003021262,0,0.004838297,0,0.003071064,0,0.00582861,0.013722464,0.004607092,0.009291713,0.010322048,0.009371913,0.011593195,0.011024893,0,0,0,0,0,0,0,0,0,0,0,0,0.00837669,0.005911214,0.007340078,0.00774991,0.006163369,0,0,0.03295703,0.023386011,0.018292453,0.03058104,0.023884875,0.019936867,0.006321845,0.017858023,0.035622638,0.023380874,0.012084384,0.009569836,0.015035107,0.012988308,0.003559944,0,0.006430691,0,0,0,0.019876051,0.009227154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009118197,0,0.011166456,0,0,0,0.046379714,0,0
Panacagrimonas,0,0,0,0,0.027501994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009567161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229059526,0.199405454,0.264465692,0.199128191,0.216341973,0.207415286,0.009939422,0,0,0,0.023287753,0.05094977,0.128544184,0,0,0.008502136,0.01265983,0.02272836,0.048112342,0.226367645,0,0,0,0,0,0,0.031922142,0.06627211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panacibacter,0,0,0,0,0,0,0,0,0.040438596,0.033290387,0.015336796,0.023813304,0.034389253,0,0.005689846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000513614,0,0.000454084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002306788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pandoraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018936297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillibacter,0.074308201,0.021451144,0.08693037,0.443278797,0.148510767,0,0.014931856,0.010664717,0.603325261,0.384352653,0.533720502,0.142383712,0.087382527,0.114365894,0.210524319,0.158663194,0.086841779,0.009889023,0.18472852,0.21181131,0.200552596,0.059522199,0.027946675,0.225086248,0.093310017,0.157011694,0.026871814,0.020257096,0.303087706,0.233733657,0.245711565,0.03890905,0.279985549,0.205075672,0.104338753,0.209976961,0.047223534,0.093905252,0.035432586,0.009135026,0.001836727,0.220505831,0.003183852,0.238704258,1.147223806,0.01453132,0.004263556,0.034642032,0.049329399,0.014778034,0.096644361,0.08912397,0.026451127,0.059793007,0.035923056,0,0.010630005,0.153871813,0.007823057,0.014330925,0,0.044252916,0.047416129,0.004617749,0.043219192,0.037404044,0.032896311,0,0.00081986,0.005933239,0.016088113,0.011942712,0.016303045,0,0.012233337,0.241423748,0.027441171,0.043396499,0.11212159,0.054206418,0,0,0,0.042131873,0,0,0,0,0.179741404,0.086212614,0.120360117,0.484306603,0.009847653,0,0.034695774,0,0.002176594,0,0.0041044,0,0
Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002651606,0.011318162,0.01118963,0.011498607,0.004531893,0.007713236,0.005529483,0.008224422,0,0,0.131143719,0.146372949,0.03378534,0.01393757,0.04515896,0.148583865,0.030432136,0.045926554,0,0.022759015,0,0.011938846,0.006734666,0.007875208,0,0.006643856,0,0.019072357,0.029844892,0.011547344,0.006515204,0.011822427,0.017126849,0.021312254,0.000256807,0.007610019,0.013319785,0.012555059,0.004252002,0.05487736,0,0,0,0.02423374,0.007389527,0.003298392,0,0.018989746,0.006579262,0.02104915,0.020971154,0,0,0,0,0,0,0.068662721,0.000144174,0.086792999,0,0,0,0,0,0,0,0,0,0,0.115962196,0.086212614,0.630687016,4.265623545,0,0,0,0,0,0,0,0,0
Paraburkholderia,0.021455185,0.014649562,0,0,0,0,0,0,0.033931236,0.039775528,0.035274631,0.021332751,0.049046967,0,0,0,0,0,0,0.031529164,0.024100741,0,0,0,0,0,0,0,0.026228744,0,0.021499762,0,0.018063584,0.002212813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031807005,0.029062164,0,0,0.098082052,0.053882129,0.077244703,0.023672587,0.080364128,0.094942378,0.094146314,0.071647578,0.032637076,0.029025853,0.041802169,0.035102257,0.031700081,0.051119364,0.037282052,0,0.027226038,0.041340156,0.039319108,0.035178611,0.027289751,0.193339766,0.093424932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracandidimonas,0.032444426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01718184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parachlamydia,0,0.001046397,0.002195211,0,0,0,0.046153011,0.036564742,0,0.003891084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018974271,0,0,0,0.000195248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035467281,0.061167317,0.00774991,0.006882429,0,0.004843558,0,0,0.005380133,0.004978309,0.002985609,0,0.011590049,0.002463176,0,0.002834045,0.002877234,0.026317049,0,0.005480116,0,0,0.003674681,0,0,0,0,0,0,0,0.086730269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracnuella,0,0,0,0,0.22551635,0,0,0,0.087849364,0.348035867,0.097133042,0.313541832,0.293718042,0.151847153,0.952100976,0.163248835,0.080074887,0.270299967,0.103412616,0.288613121,0.097263705,0,0.047584879,0.081339579,0.035250451,0.077758172,0,0,0,0,0,0,0,0.012495884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039718291,0.008166464,0,0.045559719,0.034526413,0.008504004,0.02098252,0,0.006568341,0,0.004214563,0.01108429,0.011874213,0.009919159,0.007480809,0,0,0.001984924,0,0,0,0.159194438,0,0,0,0.009515502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012036021,0.012804762,0.00598203,0.001329792,0,0,0,0,0
Paracoccus,0.074308201,0.014649562,0,0.0519348,0,0,0,0,0.049270014,0.030696331,0.040386896,0,0.014093956,0,0,0,0,0,0,0.014551922,0,0,0,0,0,0,0,0,0,0.039303848,0,0,0.021934352,0.008135341,0,0,0,0,0,0,0,0,0.002122568,0,0.001949403,0,0,0,0,0,0.046487161,0.02421847,0.023266719,0.016307184,0,0.045512089,0.043228687,0.088234186,0.053339023,0.060309309,0.031012904,0.177011664,0.025863343,0.019790354,0.020546829,0.016687958,0.018541557,0.024056171,0.021791014,0.022546309,0,0.028478774,0.027811076,0.017056296,0.019761544,0.007528807,0.000384465,0,0.298990906,0.281873374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010671439,0.139154109,0.086290328
Paraconexibacter,0.154372671,0.115103698,0.398430863,0.142362453,0.235142048,1.136803708,0.320356193,0.187394305,0.018127647,0.01599668,0.021471514,0.014387204,0.005637582,0.010571637,0.00853477,0.021093951,0.014661599,0.010987804,0.01767737,0.012126602,0.001721482,0.009469441,0.009063786,0.023840911,0.014514892,0.029906989,0.008445427,0.002532137,0.091800603,0.061271084,0.018428367,0.036005389,0.052900495,0.072111661,0.024635539,0.137779662,0.045834607,0.080726421,0.032351491,0.022159222,0,0.004846282,0,0.008542101,0.004386157,0,0.010232534,0.007994315,0,0.119702075,0.342536976,0.095905141,0.105034086,0.235910593,0.048031951,0.315445862,0.382680179,0.219509439,0.421022687,0.398877411,0.439718669,0.43093911,0.208138332,0.370739302,0.332291822,0.265856438,0.322383846,0.362346078,0.361299331,0.075945462,0.09652868,0.098297704,0.11987533,0.121526112,0.165091232,0.03774442,0.074970624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014443214,0,0.177257757,0.061601287,0.06979035,0.119016353,0.17231372,0.218361645,0.450663066,0.604639731,0.497438362
Paradevosia,0,0,0,0,0,0.071206386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraeggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007954817,0,0,0,0,0.033657757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008480993,0,0.00806754,0,0,0,0,0,0.019211444,0.015903502,0.077499104,0.011761763,0.017394329,0.064177145,0.090501051,0,0.019906493,0,0.018510778,0.028797696,0.037931071,0.021552786,0.013853248,0.019129806,0.019565192,0.01256041,0,0.021747864,0,0,0.00275601,0,0,0,0.002258642,0.001682033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244732417,0,0.300696707,0,0,0,0,0,0
Paraherbaspirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003559944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117319306,0.00997005,0,0,0.007136001,0,0,0
Paralactobacillus,0,0,0,0,0,0,0,0,0,0.000864685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paramaledivibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004430415,0,0,0.011874213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
